GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers,CustomersServiceApplication,5,3,0,0,2,1,1,1,1,1
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.model,PetType,0,3,0,0,0,1,0,1,0,1
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.model,Pet,33,0,0,0,8,0,1,0,1,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.model,Owner,47,23,1,1,11,7,3,3,2,3
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.config,MetricConfig,24,0,0,0,3,0,4,0,4,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,OwnerRequest,18,0,0,0,1,0,1,0,1,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,OwnerResource,60,0,0,0,10,0,6,0,6,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,PetResource,80,23,0,0,16,5,6,3,6,3
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,PetRequest,15,0,0,0,1,0,1,0,1,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,PetDetails,0,38,0,0,0,3,0,2,0,2
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web.mapper,OwnerEntityMapper,25,0,0,0,7,0,2,0,2,0
